NAME,ROSTER DESIGNATION,CURRENT STATUS,CONTRACT THRU,OPTION YEARS,TYPE
Jordi Alba,TAM Player,,2024,2025,Main
Tomás Avilés,U22 Initiative,,2026,"2027, 2028",Main
Sergio Busquets,Designated Player,,2025,,Main
Drake Callender,,,2025,2026,Main
Leonardo Campana,TAM Player,,2027,2028,Main
Benjamin Cremaschi,U22 Initiative/ Homegrown Player,,2027,2028,Main
Facundo Farías,U22 Initiative,Unavailable - SEI,2026,"2027, 2028",Main
Nicolás Freire,TAM Player,"Loan Player, Unavailable – SEI",2024,,Main
Diego Gómez,TAM Player,,2026,2027,Main
Julian Gressel,TAM Player,,2026,2027,Main
Sergii Kryvtsov,TAM Player,,2024,2025,Main
David Martínez,TAM Player,Loan Player,July 2025,PT: 2027; 2028,Main
Lionel Messi,Designated Player,,2025,,Main
Franco Negri,,,2024,2025,Main
Federico Redondo,U22 Initiative,,2027,2028,Main
Emerson Rodríguez,U22 Initiative,Unavailable - On Loan,2025,2026,Main
Matías Rojas,,,2024,"2025, 2026",Main
Luis Suárez,TAM Player,,2024,,Main
Robert Taylor,,,2026,2027,Main
Óscar Ustari,,,2024,,Main
Marcelo Weigandt,,Loan Player,2024,PT: 2025,Main
Leo Afonso,,,2024,"2025, 2026, 2027",Supplemental
Noah Allen,Homegrown Player,,2025,"2026, 2027",Supplemental
Yannick Bright,,,2024,"2025, 2026, 2027",Supplemental
CJ dos Santos,,,2024,"2025, 2026",Supplemental
lan Fray,Homegrown Player,,2024,2025,Supplemental
Cole Jensen,,,2024,"2025, 2026",Supplemental
David Ruiz,Homegrown Player,,2025,"2026, 2027",Supplemental
Ryan Sailor,,,2024,2025,Supplemental
Lawson Sunderland,,,2024,"2025, 2026",Supplemental
Israel Boatwright,Homegrown Player,,2026,"2027, 2028",Off
Tyler Hall,Homegrown Player,,2027,2028,Off
Santiago Morales,Homegrown Player,,2027,2028,Off
Felipe Valencia,Homegrown Player,,2024,2025,Off